datetime,open,high,low,close,volume,hold
2024-08-13 11:15:00,16055.0,16080.0,15995.0,16025.0,84956,142695
2024-08-13 14:15:00,16020.0,16030.0,15915.0,15945.0,100306,139225
2024-08-13 15:00:00,15945.0,16010.0,15945.0,16005.0,44981,139504
2024-08-13 22:00:00,16025.0,16030.0,15915.0,15950.0,123050,142134
2024-08-13 23:00:00,15950.0,15955.0,15840.0,15875.0,114302,139584
2024-08-14 10:00:00,15880.0,15945.0,15855.0,15870.0,115592,140521
2024-08-14 11:15:00,15870.0,15895.0,15765.0,15815.0,133625,139734
2024-08-14 14:15:00,15810.0,15875.0,15785.0,15845.0,40254,139931
2024-08-14 15:00:00,15845.0,15875.0,15785.0,15805.0,33381,138211
2024-08-14 22:00:00,15825.0,15935.0,15755.0,15920.0,102122,144301
2024-08-14 23:00:00,15925.0,15925.0,15880.0,15905.0,39590,142176
2024-08-15 10:00:00,15905.0,15935.0,15850.0,15925.0,64955,143362
2024-08-15 11:15:00,15940.0,16080.0,15935.0,16025.0,92146,151193
2024-08-15 14:15:00,16025.0,16040.0,15865.0,15880.0,75887,145124
2024-08-15 15:00:00,15885.0,16025.0,15880.0,16025.0,59758,145739
2024-08-15 22:00:00,16030.0,16130.0,15975.0,16085.0,265994,153710
2024-08-15 23:00:00,16085.0,16180.0,16045.0,16175.0,138780,154859
2024-08-16 10:00:00,16180.0,16185.0,16120.0,16150.0,94191,157639
2024-08-16 11:15:00,16150.0,16165.0,16105.0,16110.0,40446,157221
2024-08-16 14:15:00,16110.0,16155.0,16085.0,16125.0,42787,156494
2024-08-16 15:00:00,16125.0,16125.0,16050.0,16060.0,37997,153929
2024-08-16 22:00:00,16010.0,16045.0,15885.0,16025.0,115249,154510
2024-08-16 23:00:00,16025.0,16080.0,15990.0,16045.0,50038,152483
2024-08-19 10:00:00,16055.0,16185.0,16000.0,16150.0,73352,157800
2024-08-19 11:15:00,16150.0,16155.0,16085.0,16115.0,44458,156969
2024-08-19 14:15:00,16115.0,16170.0,16090.0,16165.0,38378,159093
2024-08-19 15:00:00,16170.0,16195.0,16135.0,16155.0,40671,159573
2024-08-19 22:00:00,16165.0,16205.0,16125.0,16145.0,147465,161722
2024-08-19 23:00:00,16145.0,16170.0,16105.0,16150.0,96582,159243
2024-08-20 10:00:00,16135.0,16160.0,16085.0,16095.0,46882,158965
2024-08-20 11:15:00,16090.0,16140.0,16085.0,16130.0,34951,157715
2024-08-20 14:15:00,16130.0,16205.0,16115.0,16175.0,47657,160676
2024-08-20 15:00:00,16180.0,16260.0,16160.0,16235.0,56391,161881
2024-08-20 22:00:00,16270.0,16315.0,16255.0,16270.0,71323,163919
2024-08-20 23:00:00,16265.0,16295.0,16225.0,16265.0,35473,160294
2024-08-21 10:00:00,16260.0,16270.0,16205.0,16235.0,46236,160618
2024-08-21 11:15:00,16235.0,16295.0,16230.0,16290.0,36644,162567
2024-08-21 14:15:00,16290.0,16335.0,16240.0,16300.0,51658,164639
2024-08-21 15:00:00,16295.0,16325.0,16270.0,16290.0,27485,163242
2024-08-21 22:00:00,16300.0,16315.0,16225.0,16240.0,157935,165156
2024-08-21 23:00:00,16240.0,16280.0,16225.0,16265.0,92703,163981
2024-08-22 10:00:00,16265.0,16280.0,16225.0,16245.0,122418,164489
2024-08-22 11:15:00,16245.0,16265.0,16155.0,16250.0,144029,162279
2024-08-22 14:15:00,16245.0,16290.0,16215.0,16275.0,77870,164025
2024-08-22 15:00:00,16275.0,16290.0,16160.0,16210.0,60902,159578
2024-08-22 22:00:00,16200.0,16335.0,16200.0,16290.0,144710,166697
2024-08-22 23:00:00,16295.0,16315.0,16165.0,16310.0,182103,162486
2024-08-23 10:00:00,16330.0,16380.0,16310.0,16315.0,131099,167774
2024-08-23 11:15:00,16320.0,16360.0,16305.0,16330.0,40763,167668
2024-08-23 14:15:00,16325.0,16390.0,16320.0,16355.0,46245,169346
2024-08-23 15:00:00,16355.0,16410.0,16340.0,16350.0,45853,168025
2024-08-23 22:00:00,16405.0,16420.0,16340.0,16405.0,60652,172104
2024-08-23 23:00:00,16405.0,16435.0,16370.0,16400.0,54021,168765
2024-08-26 10:00:00,16410.0,16430.0,16315.0,16360.0,68135,168044
2024-08-26 11:15:00,16360.0,16380.0,16325.0,16335.0,33084,168491
2024-08-26 14:15:00,16335.0,16430.0,16335.0,16425.0,36683,170201
2024-08-26 15:00:00,16420.0,16455.0,16410.0,16440.0,29228,169823
2024-08-26 22:00:00,16455.0,16480.0,16425.0,16435.0,52973,172507
2024-08-26 23:00:00,16430.0,16455.0,16415.0,16440.0,26193,171098
2024-08-27 10:00:00,16450.0,16450.0,16315.0,16375.0,74600,167663
2024-08-27 11:15:00,16375.0,16395.0,16345.0,16360.0,28448,167542
2024-08-27 14:15:00,16360.0,16510.0,16350.0,16490.0,68584,171877
2024-08-27 15:00:00,16485.0,16505.0,16440.0,16500.0,40006,169940
2024-08-27 22:00:00,16525.0,16670.0,16500.0,16595.0,111034,178970
2024-08-27 23:00:00,16590.0,16645.0,16575.0,16645.0,40435,175783
2024-08-28 10:00:00,16655.0,16685.0,16625.0,16665.0,47646,178268
2024-08-28 11:15:00,16665.0,16715.0,16645.0,16685.0,62758,180146
2024-08-28 14:15:00,16685.0,16800.0,16680.0,16725.0,75243,182433
2024-08-28 15:00:00,16725.0,16800.0,16725.0,16755.0,47095,182230
2024-08-28 22:00:00,16715.0,16785.0,16680.0,16765.0,74652,185888
